wavelog_input,flatflux_input,flatflux_err_input,flatflux_input_sm
3684.576172,-0.007102,0.074172,0.019615
3689.567871,-0.000956,0.075580,0.018705
3694.566406,0.051014,0.075074,0.017693
3699.571289,-0.035457,0.075222,0.016520
3704.583008,-0.047139,0.075298,0.015167
3709.601807,0.026945,0.075217,0.013662
3714.627441,-0.027502,0.075296,0.011925
3719.659668,-0.124346,0.072136,0.010176
3724.698730,0.078935,0.071658,0.008321
3729.744629,0.039929,0.071680,0.006324
3734.797363,-0.086104,0.070400,0.004223
3739.856934,-0.018847,0.070352,0.002238
3744.923340,0.035427,0.070619,0.000099
3749.997070,-0.028975,0.070579,-0.001964
3755.077148,-0.036316,0.069574,-0.003879
3760.164062,-0.020929,0.067556,-0.005902
3765.257812,0.031993,0.066200,-0.007694
